,category,age,num_strokes,filename,Y,C,sum,scribble,sessionId,draw_duration,num_black_pixels,prop_black,max_stroke_length,min_stroke_length,avg_stroke_length,cat_code
19,a boat,6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_20.png,,0,0,0,cdm_run_v31526063950237,14.368,782,0.034755556,2658,970,2031,0
20,a boat,7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_21.png,1,0,1,0,cdm_run_v31526064139398,2.263,71,0.003155556,187,0,125,0
21,a boat,7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_22.png,,0,0,0,cdm_run_v31526064497532,0,457,0.020311111,1234,1234,1234,0
22,a boat,7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_23.png,,0,0,0,cdm_run_v31526064586872,0,500,0.022222222,1353,1353,1353,0
23,a boat,2,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_24.png,2,2,4,1,cdm_run_v31526064952740,8.402,870,0.038666667,6287,546,3032,0
24,a boat,4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_25.png,,0,0,0,cdm_run_v31526065527149,0,779,0.034622222,2077,2077,2077,0
25,a boat,5,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_26.png,,0,0,0,cdm_run_v31526072947360,24.939,1492,0.066311111,9034,196,5155,0
26,a boat,8,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_27.png,,0,0,0,cdm_run_v31526074471797,4.559,880,0.039111111,3477,498,2146,0
27,a boat,10,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_28.png,,0,0,0,cdm_run_v31526151383057,14.777,2223,0.0988,9604,1429,5878,0
28,a boat,10,29,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_29.png,,0,0,0,cdm_run_v31526152332221,23.15,1770,0.078666667,8328,557,5546,0
29,a boat,2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_30.png,-2,-2,-4,0,cdm_run_v31526152658322,3.525,583,0.025911111,2833,447,1797,0
30,a boat,8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_31.png,,0,0,0,cdm_run_v31526152868212,4.03,725,0.032222222,2692,1119,1886,0
31,a boat,3,157,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_32.png,2,2,4,1,cdm_run_v31526154337782,13.643,954,0.0424,0,0,0,0
32,a boat,9,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_33.png,,0,0,0,cdm_run_v31526155956525,3.817,574,0.025511111,1871,291,1087,0
33,a boat,5,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_34.png,,0,0,0,cdm_run_v31526157427450,9.55,1133,0.050355556,4260,331,1538,0
34,a boat,5,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_35.png,,0,0,0,cdm_run_v31526158807742,5.198,560,0.024888889,1783,974,1379,0
35,a boat,2,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_36.png,,0,0,0,cdm_run_v31526160539320,2.772,895,0.039777778,3034,0,1318,0
36,a boat,4,22,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_37.png,,0,0,0,cdm_run_v31526162026170,20.586,1322,0.058755556,7069,990,4749,0
37,a boat,2,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_38.png,1,0,1,0,cdm_run_v31526162477315,14.604,1512,0.0672,10634,24,5483,0
38,a boat,8,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_39.png,,0,0,0,cdm_run_v31526164238357,8.793,585,0.026,2625,1094,1715,0
39,a boat,4,54,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_40.png,1,0,1,0,cdm_run_v31526166383560,16.907,1606,0.071377778,29836,3537,16828,0
40,a boat,4,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_41.png,,0,0,0,cdm_run_v31526167651102,7.034,1234,0.054844444,7716,890,3499,0
41,a boat,6,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_42.png,,0,0,0,cdm_run_v31526168752022,10.394,1523,0.067688889,6067,1176,2957,0
42,a boat,4,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_43.png,,0,0,0,cdm_run_v31526239192649,4.732,616,0.027377778,2362,445,1567,0
43,a boat,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_44.png,,0,0,0,cdm_run_v31526240601849,5.709,876,0.038933333,3262,720,2069,0
44,a boat,2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_45.png,,0,0,0,cdm_run_v31526241319670,3.4,900,0.04,2586,1354,1970,0
45,a boat,7,24,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_46.png,,0,0,0,cdm_run_v31526244386384,18.561,1867,0.082977778,7758,1562,4175,0
46,a boat,2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_47.png,1,0,1,0,cdm_run_v31526249267204,0,169,0.007511111,450,450,450,0
47,a boat,8,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_48.png,,0,0,0,cdm_run_v31526249878999,9.283,1018,0.045244444,3947,1084,3170,0
48,a boat,4,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_49.png,,0,0,0,cdm_run_v31526250064091,19.901,1200,0.053333333,4372,998,3135,0
49,a boat,6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_50.png,,0,0,0,cdm_run_v31526251554792,7.435,990,0.044,3557,1538,2672,0
50,a boat,6,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_51.png,,0,0,0,cdm_run_v31526251955281,5.248,1671,0.074266667,5575,1458,3517,0
51,a boat,9,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_52.png,,0,0,0,cdm_run_v31526252261677,11.8,1287,0.0572,6131,1399,4010,0
52,a boat,7,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_53.png,,0,0,0,cdm_run_v31526252692974,10.293,1310,0.058222222,5677,596,4416,0
53,a boat,8,14,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_54.png,,0,0,0,cdm_run_v31526253016255,17.218,1479,0.065733333,5808,1754,4449,0
54,a boat,3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_55.png,1,0,1,0,cdm_run_v31526253202063,0,202,0.008977778,617,617,617,0
55,a boat,9,27,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_56.png,1,0,1,0,cdm_run_v31526253458184,1.271,1388,0.061688889,15358,143,6124,0
56,a boat,5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_57.png,,0,0,0,cdm_run_v31526254092272,4.191,842,0.037422222,2901,1546,2397,0
57,a boat,5,1210,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_58.png,2,1,3,1,cdm_run_v31526254628791,9.559,6156,0.2736,0,0,0,0
58,a boat,5,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_59.png,1,0,1,0,cdm_run_v31526254866517,2.432,435,0.019333333,1322,360,822,0
59,a boat,2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_60.png,1,0,1,0,cdm_run_v31526413722391,0.074,50,0.002222222,120,0,60,0
60,a boat,8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_61.png,,0,0,0,cdm_run_v31526413939938,4.592,696,0.030933333,2124,1207,1644,0
61,a boat,2,85,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_62.png,2,1,3,1,cdm_run_v31526414368321,10.213,1398,0.062133333,31012,1349,17126,0
62,a boat,3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_63.png,,0,0,0,cdm_run_v31526415298029,0,393,0.017466667,1069,1069,1069,0
63,a boat,4,19,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_64.png,,0,0,0,cdm_run_v31526417227846,12.552,1556,0.069155556,7886,763,4852,0
64,a boat,7,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_65.png,,0,0,0,cdm_run_v31526417564997,7.141,978,0.043466667,3507,1264,2438,0
65,a boat,5,20,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_66.png,,0,0,0,cdm_run_v31526418564273,22.145,1832,0.081422222,11523,1330,7369,0
66,a boat,8,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_67.png,,0,0,0,cdm_run_v31526422835385,1.613,1318,0.058577778,8517,3819,6168,0
67,a boat,3,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_68.png,,0,0,0,cdm_run_v31526423557040,1.354,1054,0.046844444,7051,3029,5026,0
68,a boat,2,131,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_69.png,1,2,3,1,cdm_run_v31526491920836,17.73,1446,0.064266667,0,0,0,0
69,a boat,5,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_70.png,,0,0,0,cdm_run_v31526492191665,14.739,1134,0.0504,3577,1726,2808,0
70,a boat,2,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_71.png,1,2,3,1,cdm_run_v31526492679058,6.183,1490,0.066222222,8556,13,4253,0
71,a boat,2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_72.png,1,1,2,1,cdm_run_v31526493024418,0,1529,0.067955556,4366,4366,4366,0
72,a boat,2,28,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_73.png,,0,0,0,cdm_run_v31526493522883,23.037,1622,0.072088889,13919,567,9243,0
73,a boat,2,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_74.png,,0,0,0,cdm_run_v31526497092100,19.924,907,0.040311111,6041,507,4213,0
74,a boat,4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_75.png,,0,0,0,cdm_run_v31526497714288,15.944,1126,0.050044444,4357,907,3114,0
75,a boat,2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_76.png,,0,0,0,cdm_run_v31526498176971,14.11,1275,0.056666667,6033,484,3446,0
76,a boat,5,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_77.png,,0,0,0,cdm_run_v31526499554039,6.669,1203,0.053466667,4920,1409,3277,0
77,a boat,3,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_78.png,,0,0,0,cdm_run_v31526501614452,10.298,999,0.0444,9025,354,5156,0
78,a boat,3,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_79.png,,1,1,0,cdm_run_v31526502079646,14.628,890,0.039555556,4423,498,3015,0
79,a boat,2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_80.png,,0,0,0,cdm_run_v31526504221167,6.186,1057,0.046977778,4158,466,2216,0
80,a boat,6,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_81.png,,0,0,0,cdm_run_v31526506411620,4.45,1214,0.053955556,3960,1477,2595,0
81,a boat,4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_82.png,2,2,4,1,cdm_run_v31526507469435,0,3023,0.134355556,9787,9787,9787,0
82,a boat,3,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_83.png,1,0,1,0,cdm_run_v31526507684003,1.23,576,0.0256,1936,766,1351,0
83,a boat,4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_84.png,2,2,4,1,cdm_run_v31526507850752,0,5017,0.222977778,16837,16837,16837,0
84,a boat,6,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_85.png,1,0,1,0,cdm_run_v31526580838432,0.051,278,0.012355556,5055,1272,3355,0
85,a boat,3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_86.png,1,0,1,0,cdm_run_v31526583537981,8.035,1178,0.052355556,4637,37,1341,0
86,a boat,2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_87.png,1,0,1,0,cdm_run_v31526584027584,1.82,277,0.012311111,987,605,796,0
87,a boat,2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_88.png,1,-1,0,0,cdm_run_v31526585403449,0.315,13,0.000577778,789,9,399,0
88,a boat,3,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_89.png,,0,0,0,cdm_run_v31526588694293,16.644,2385,0.106,12674,1015,5929,0
89,a boat,3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_90.png,,0,0,0,cdm_run_v31526589361603,2.858,1010,0.044888889,3504,1539,2450,0
90,a boat,4,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_91.png,,0,0,0,cdm_run_v31526592878172,4.274,471,0.020933333,1258,434,846,0
91,a boat,3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_92.png,1,0,1,0,cdm_run_v31526593921790,0,175,0.007777778,383,383,383,0
92,a boat,7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_93.png,,0,0,0,cdm_run_v31526598717979,0,586,0.026044444,1641,1641,1641,0
93,a boat,2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_94.png,1,0,1,0,cdm_run_v31526600614970,0,226,0.010044444,612,612,612,0
94,a boat,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_95.png,,0,0,0,cdm_run_v31526665223948,4.511,689,0.030622222,2606,465,1675,0
95,a boat,6,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_96.png,,0,0,0,cdm_run_v31526665751276,8.708,1105,0.049111111,4586,37,2213,0
96,a boat,6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_97.png,,0,0,0,cdm_run_v31526666150080,4.115,626,0.027822222,2481,438,1422,0
97,a boat,3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_98.png,,0,0,0,cdm_run_v31526671777923,16.83,1388,0.061688889,6023,806,3054,0
98,a boat,4,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_99.png,,0,0,0,cdm_run_v31526673903441,1.725,835,0.037111111,2893,1467,2148,0
99,a boat,5,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_100.png,,0,0,0,cdm_run_v31526674232751,7.925,674,0.029955556,2545,467,1494,0
100,a car,6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_1.png,,0,0,0,cdm_run_v31525891444648,6.967,749,0.033288889,2304,936,1628,1
101,a car,2,14,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_2.png,,0,0,0,cdm_run_v31525893174061,9.732,1554,0.069066667,5897,1663,2929,1
102,a car,3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_3.png,-1,-1,-2,0,cdm_run_v31525893768237,0.002,0,0,2367,1909,2214,1
103,a car,5,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_4.png,,0,0,0,cdm_run_v31525893976840,13.806,1241,0.055155556,3863,305,2022,1
104,a car,2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_5.png,,0,0,0,cdm_run_v31525894697860,8.148,790,0.035111111,8226,1541,5211,1
105,a car,6,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_6.png,,0,0,0,cdm_run_v31525895728803,7.178,1168,0.051911111,4043,1371,2499,1
106,a car,2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_7.png,2,2,4,1,cdm_run_v31525897661521,5.21,3783,0.168133333,12683,6720,9701,1
107,a car,4,16,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_8.png,1,0,1,0,cdm_run_v31525899254114,12.579,1528,0.067911111,6403,846,4970,1
108,a car,2,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_9.png,1,0,1,0,cdm_run_v31525901322190,7.918,301,0.013377778,1793,36,643,1
109,a car,3,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_10.png,,0,0,0,cdm_run_v31525901714819,17.348,594,0.0264,3175,309,1569,1
110,a car,3,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_11.png,1,1,2,1,cdm_run_v31525904067360,12.111,1155,0.051333333,9260,1121,5638,1
111,a car,4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_12.png,,0,0,0,cdm_run_v31525975379407,26.594,880,0.039111111,4100,359,2503,1
112,a car,5,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_13.png,,0,0,0,cdm_run_v31525976865876,8.341,1308,0.058133333,5300,1548,3556,1
113,a car,4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_14.png,,0,0,0,cdm_run_v31525984464310,6.501,868,0.038577778,4854,1349,3170,1
114,a car,2,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_15.png,,0,0,0,cdm_run_v31525990258467,11.687,1422,0.0632,5123,1583,3330,1
115,a car,3,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_16.png,,0,0,0,cdm_run_v31525992411710,8.386,1264,0.056177778,4606,705,3097,1
116,a car,3,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_17.png,,0,0,0,cdm_run_v31525992682386,19.02,1673,0.074355556,7180,1805,4665,1
117,a car,9,59,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_18.png,,1,1,0,cdm_run_v31525993726883,8.628,1201,0.053377778,17926,13,9746,1
118,a car,7,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_19.png,,0,0,0,cdm_run_v31526060708396,13.559,968,0.043022222,5065,512,3362,1
119,a car,6,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_20.png,,0,0,0,cdm_run_v31526061437727,0,511,0.022711111,1389,1389,1389,1
120,a car,7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_21.png,,0,0,0,cdm_run_v31526061922561,3.126,982,0.043644444,3017,587,1731,1
121,a car,7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_22.png,,1,1,0,cdm_run_v31526064586872,0,548,0.024355556,1530,1530,1530,1
122,a car,2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_23.png,,0,0,0,cdm_run_v31526064952740,13.619,1080,0.048,3709,23,2336,1
123,a car,4,25,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_24.png,,0,0,0,cdm_run_v31526065527149,9.234,1112,0.049422222,7531,1027,3977,1
124,a car,2,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_25.png,1,1,2,1,cdm_run_v31526067194650,14.936,1915,0.085111111,10253,733,3813,1
125,a car,5,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_26.png,-1,-1,-2,0,cdm_run_v31526072349961,0.001,0,0,6259,6259,6259,1
126,a car,5,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_27.png,,0,0,0,cdm_run_v31526072947360,13.459,1548,0.0688,6792,793,3753,1
127,a car,4,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_28.png,,0,0,0,cdm_run_v31526073488506,8.142,711,0.0316,1930,0,965,1
128,a car,8,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_29.png,,0,0,0,cdm_run_v31526074471797,5.149,1431,0.0636,6098,1983,4521,1
129,a car,3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_30.png,,0,0,0,cdm_run_v31526078606222,20.985,2017,0.089644444,9304,660,4950,1
