,category,age,num_strokes,filename,,,,,,,,,
16,a boat,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_17.png,,,,,,,,,
17,a boat,age7,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_18.png,,,,,,,,,
18,a boat,age6,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_19.png,,,,,,,,,
19,a boat,age6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_20.png,,,,,,,,,
20,a boat,age7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_21.png,,,,,,,,,1
21,a boat,age7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_22.png,,,,,,,,,
22,a boat,age7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_23.png,,,,,,,,,
23,a boat,age2,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_24.png,,,,,,,,,2
24,a boat,age4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_25.png,,,,,,,,,
25,a boat,age5,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_26.png,,,,,,,,,
26,a boat,age8,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_27.png,,,,,,,,,
27,a boat,age10,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_28.png,,,,,,,,,
28,a boat,age10,29,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_29.png,,,,,,,,,
29,a boat,age2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_30.png,,,,,,,,,-2
30,a boat,age8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_31.png,,,,,,,,,
31,a boat,age3,157,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_32.png,,,,,,,,,2
32,a boat,age9,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_33.png,,,,,,,,,
33,a boat,age5,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_34.png,,,,,,,,,
34,a boat,age5,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_35.png,,,,,,,,,
35,a boat,age2,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_36.png,,,,,,,,,
36,a boat,age4,22,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_37.png,,,,,,,,,
37,a boat,age2,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_38.png,,,,,,,,,1
38,a boat,age8,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_39.png,,,,,,,,,
39,a boat,age4,54,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_40.png,,,,,,,,,1
40,a boat,age4,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_41.png,,,,,,,,,
41,a boat,age6,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_42.png,,,,,,,,,
42,a boat,age4,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_43.png,,,,,,,,,
43,a boat,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_44.png,,,,,,,,,
44,a boat,age2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_45.png,,,,,,,,,
45,a boat,age7,24,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_46.png,,,,,,,,,
46,a boat,age2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_47.png,,,,,,,,,1
47,a boat,age8,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_48.png,,,,,,,,,
48,a boat,age4,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_49.png,,,,,,,,,
49,a boat,age6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_50.png,,,,,,,,,
50,a boat,age6,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_51.png,,,,,,,,,
51,a boat,age9,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_52.png,,,,,,,,,
52,a boat,age7,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_53.png,,,,,,,,,
53,a boat,age8,14,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_54.png,,,,,,,,,
54,a boat,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_55.png,,,,,,,,,1
55,a boat,age9,27,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_56.png,,,,,,,,,1
56,a boat,age5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_57.png,,,,,,,,,
57,a boat,age5,1210,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_58.png,,,,,,,,,2
58,a boat,age5,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_59.png,,,,,,,,,1
59,a boat,age2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_60.png,,,,,,,,,1
60,a boat,age8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_61.png,,,,,,,,,
61,a boat,age2,85,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_62.png,,,,,,,,,2
62,a boat,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_63.png,,,,,,,,,
63,a boat,age4,19,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_64.png,,,,,,,,,
64,a boat,age7,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_65.png,,,,,,,,,
65,a boat,age5,20,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_66.png,,,,,,,,,
66,a boat,age8,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_67.png,,,,,,,,,
67,a boat,age3,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_68.png,,,,,,,,,
68,a boat,age2,131,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_69.png,,,,,,,,,1
69,a boat,age5,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_70.png,,,,,,,,,
70,a boat,age2,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_71.png,,,,,,,,,1
71,a boat,age2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_72.png,,,,,,,,,1
72,a boat,age2,28,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_73.png,,,,,,,,,
73,a boat,age2,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_74.png,,,,,,,,,
74,a boat,age4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_75.png,,,,,,,,,
75,a boat,age2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_76.png,,,,,,,,,
76,a boat,age5,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_77.png,,,,,,,,,
77,a boat,age3,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_78.png,,,,,,,,,
78,a boat,age3,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_79.png,,,,,,,,,
79,a boat,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_80.png,,,,,,,,,
80,a boat,age6,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_81.png,,,,,,,,,
81,a boat,age4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_82.png,,,,,,,,,2
82,a boat,age3,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_83.png,,,,,,,,,1
83,a boat,age4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_84.png,,,,,,,,,2
84,a boat,age6,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_85.png,,,,,,,,,1
85,a boat,age3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_86.png,,,,,,,,,1
86,a boat,age2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_87.png,,,,,,,,,1
87,a boat,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_88.png,,,,,,,,,1
88,a boat,age3,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_89.png,,,,,,,,,
89,a boat,age3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_90.png,,,,,,,,,
90,a boat,age4,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_91.png,,,,,,,,,
91,a boat,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_92.png,,,,,,,,,1
92,a boat,age7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_93.png,,,,,,,,,
93,a boat,age2,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_94.png,,,,,,,,,1
94,a boat,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_95.png,,,,,,,,,
95,a boat,age6,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_96.png,,,,,,,,,
96,a boat,age6,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_97.png,,,,,,,,,
97,a boat,age3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_98.png,,,,,,,,,
98,a boat,age4,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_99.png,,,,,,,,,
99,a boat,age5,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a boat_100.png,,,,,,,,,
100,a car,age6,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_1.png,,,,,,,,,
101,a car,age2,14,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_2.png,,,,,,,,,
102,a car,age3,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_3.png,,,,,,,,,
103,a car,age5,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_4.png,,,,,,,,,
104,a car,age2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_5.png,,,,,,,,,
105,a car,age6,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_6.png,,,,,,,,,
106,a car,age2,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_7.png,,,,,,,,,
107,a car,age4,16,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_8.png,,,,,,,,,
108,a car,age2,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_9.png,,,,,,,,,
109,a car,age3,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_10.png,,,,,,,,,
110,a car,age3,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_11.png,,,,,,,,,
111,a car,age4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_12.png,,,,,,,,,
112,a car,age5,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_13.png,,,,,,,,,
113,a car,age4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_14.png,,,,,,,,,
114,a car,age2,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_15.png,,,,,,,,,
115,a car,age3,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_16.png,,,,,,,,,
116,a car,age3,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_17.png,,,,,,,,,
117,a car,age9,59,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_18.png,,,,,,,,,
118,a car,age7,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_19.png,,,,,,,,,
119,a car,age6,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_20.png,,,,,,,,,
120,a car,age7,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_21.png,,,,,,,,,
121,a car,age7,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_22.png,,,,,,,,,
122,a car,age2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_23.png,,,,,,,,,
123,a car,age4,25,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_24.png,,,,,,,,,
124,a car,age2,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_25.png,,,,,,,,,
125,a car,age5,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_26.png,,,,,,,,,
126,a car,age5,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_27.png,,,,,,,,,
127,a car,age4,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_28.png,,,,,,,,,
128,a car,age8,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_29.png,,,,,,,,,
129,a car,age3,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_30.png,,,,,,,,,
130,a car,age4,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_31.png,,,,,,,,,
131,a car,age4,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_32.png,,,,,,,,,
132,a car,age8,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_33.png,,,,,,,,,
133,a car,age8,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_34.png,,,,,,,,,
134,a car,age10,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_35.png,,,,,,,,,
135,a car,age2,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_36.png,,,,,,,,,
136,a car,age8,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_37.png,,,,,,,,,
137,a car,age3,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_38.png,,,,,,,,,
138,a car,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_39.png,,,,,,,,,
139,a car,age9,16,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_40.png,,,,,,,,,
140,a car,age5,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_41.png,,,,,,,,,
141,a car,age6,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_42.png,,,,,,,,,
142,a car,age5,8,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_43.png,,,,,,,,,
143,a car,age2,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_44.png,,,,,,,,,
144,a car,age4,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_45.png,,,,,,,,,
145,a car,age2,26,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_46.png,,,,,,,,,
146,a car,age8,10,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_47.png,,,,,,,,,
147,a car,age8,11,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_48.png,,,,,,,,,
148,a car,age4,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_49.png,,,,,,,,,
149,a car,age4,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_50.png,,,,,,,,,
150,a car,age6,16,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_51.png,,,,,,,,,
151,a car,age4,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_52.png,,,,,,,,,
152,a car,age6,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_53.png,,,,,,,,,
153,a car,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_54.png,,,,,,,,,
154,a car,age7,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_55.png,,,,,,,,,
155,a car,age9,2,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_56.png,,,,,,,,,
156,a car,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_57.png,,,,,,,,,
157,a car,age8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_58.png,,,,,,,,,
158,a car,age4,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_59.png,,,,,,,,,
159,a car,age6,15,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_60.png,,,,,,,,,
160,a car,age6,7,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_61.png,,,,,,,,,
161,a car,age9,17,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_62.png,,,,,,,,,
162,a car,age7,10,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_63.png,,,,,,,,,
163,a car,age8,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_64.png,,,,,,,,,
164,a car,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_65.png,,,,,,,,,
165,a car,age9,3,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_66.png,,,,,,,,,
166,a car,age5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_67.png,,,,,,,,,
167,a car,age5,2009,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_68.png,,,,,,,,,
168,a car,age5,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_69.png,,,,,,,,,
169,a car,age2,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_70.png,,,,,,,,,
170,a car,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_71.png,,,,,,,,,
171,a car,age8,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_72.png,,,,,,,,,
172,a car,age2,37,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_73.png,,,,,,,,,
173,a car,age3,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_74.png,,,,,,,,,
174,a car,age4,23,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_75.png,,,,,,,,,
175,a car,age7,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_76.png,,,,,,,,,
176,a car,age5,17,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_77.png,,,,,,,,,
177,a car,age3,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_78.png,,,,,,,,,
178,a car,age3,1,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_79.png,,,,,,,,,
179,a car,age2,5,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_80.png,,,,,,,,,
180,a car,age5,10,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_81.png,,,,,,,,,
181,a car,age2,6,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_82.png,,,,,,,,,
182,a car,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_83.png,,,,,,,,,
183,a car,age2,13,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_84.png,,,,,,,,,
184,a car,age2,9,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_85.png,,,,,,,,,
185,a car,age4,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_86.png,,,,,,,,,
186,a car,age2,4,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_87.png,,,,,,,,,
187,a car,age5,12,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_88.png,,,,,,,,,
188,a car,age5,10,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_89.png,,,,,,,,,
189,a car,age3,18,/Users/langcogresearchassistants/Desktop/kiddraw/kiddraw/analysis/museumstation/python/sketches/a car_90.png,,,,,,,,,
