session_id,trial_num,category,age
E1c_1510787010922,4,flower,8
E1c_1510787010922,5,banana,8
E1c_1510787010922,6,car,8
E1c_1510787010922,7,chair,8
E1c_1510787010922,8,frog,8
E1c_1510787010922,9,boat,8
E1c_1510787010922,10,foot,8
E1c_1510787010922,11,shoe,8
E1c_1510787010922,12,couch,8
E1c_1510787010922,13,cup,8
E1c_1510787010922,14,cat,8
E1c_1510787010922,15,train,8
E1c_1510870100423,2,rabbit,7
E1c_1510870100423,3,chair,7
E1c_1510870100423,4,flower,7
E1c_1510870100423,5,carrot,7
E1c_1510870100423,6,train,7
E1c_1510870100423,7,ice cream,7
E1c_1510870100423,8,phone,7
E1c_1510870100423,9,cat,7
E1c_1510870384576,2,train,5
E1c_1510870384576,3,car,5
E1c_1510870384576,4,shoe,5
E1c_1510870384576,5,ice cream,5
E1c_1510870384576,6,cup,5
E1c_1510870384576,7,chair,5
E1c_1510870628731,2,boat,8
E1c_1510870628731,3,banana,8
E1c_1510870628731,4,phone,8
E1c_1510870628731,5,cup,8
E1c_1510870628731,6,chair,8
E1c_1510870628731,7,flower,8
E1c_1510870628731,8,frog,8
E1c_1510870628731,9,cat,8
E1c_1510870628731,10,shoe,8
E1c_1510870628731,11,train,8
E1c_1510870628731,12,couch,8
E1c_1510870628731,13,rabbit,8
E1c_1511292022297,2,foot,6
E1c_1511292022297,3,car,6
E1c_1511292022297,4,rabbit,6
E1c_1511292022297,5,couch,6
E1c_1511292022297,6,train,6
E1c_1511292022297,7,shoe,6
E1c_1511292022297,8,banana,6
E1c_1511292286803,2,train,6
E1c_1511292286803,3,banana,6
E1c_1511292286803,4,ice cream,6
E1c_1511292286803,5,shoe,6
E1c_1511292286803,6,chair,6
E1c_1511292286803,7,rabbit,6
E1c_1511292286803,8,foot,6
E1c_1511292286803,9,boat,6
E1c_1511292658766,2,banana,8
E1c_1511292658766,3,flower,8
E1c_1511292658766,4,boat,8
E1c_1511292658766,5,cat,8
E1c_1511293092153,2,banana,6
E1c_1511293092153,3,chair,6
E1c_1511293092153,4,train,6
E1c_1511293092153,5,couch,6
E1c_1511293092153,6,rabbit,6
E1c_1511293092153,7,car,6
E1c_1511293092153,8,frog,6
E1c_1511293452162,2,phone,10
E1c_1511293452162,3,frog,10
E1c_1511293452162,4,boat,10
E1c_1511293452162,5,banana,10
E1c_1511293452162,6,shoe,10
E1c_1511293452162,7,cat,10
E1c_1511293452162,8,train,10
E1c_1511293452162,9,cup,10
E1c_1511293452162,10,chair,10
E1c_1511293452162,11,rabbit,10
E1c_1511293452162,12,flower,10
E1c_1511293452162,13,carrot,10
E1c_1511293754661,2,frog,8
E1c_1511293754661,3,car,8
E1c_1511293754661,4,ice cream,8
E1c_1511293754661,5,flower,8
E1c_1511293754661,6,couch,8
E1c_1511293754661,7,carrot,8
E1c_1511293754661,8,foot,8
E1c_1511293924452,2,chair,8
E1c_1511293924452,3,rabbit,8
E1c_1511293924452,4,cup,8
E1c_1511293924452,5,flower,8
E1c_1511293924452,6,boat,8
E1c_1511293924452,7,cat,8
E1c_1511293924452,8,frog,8
E1c_1511293924452,9,phone,8
E1c_1511293924452,10,car,8
E1c_1511300355318,2,train,8
E1c_1511300355318,3,flower,8
E1c_1511300355318,4,shoe,8
E1c_1511300355318,5,cup,8
E1c_1511300355318,6,couch,8
E1c_1511300355318,7,ice cream,8
E1c_1511300355318,8,cat,8
E1c_1511300355318,9,banana,8
E1c_1511300355318,10,rabbit,8
E1c_1511300355318,11,boat,8
E1c_1511300850043,2,rabbit,8
E1c_1511300850043,3,flower,8
E1c_1511300850043,4,carrot,8
E1c_1511300850043,5,ice cream,8
E1c_1511300850043,6,phone,8
E1c_1511300850043,7,cat,8
E1c_1511301009480,2,car,7
E1c_1511301009480,3,banana,7
E1c_1511301009480,4,flower,7
E1c_1511301009480,5,boat,7
E1c_1511301009480,6,phone,7
E1c_1511301009480,7,rabbit,7
E1c_1511301440421,2,carrot,5
E1c_1511301440421,3,chair,5
E1c_1511301440421,4,ice cream,5
E1c_1511301440421,5,foot,5
E1c_1511301440421,6,banana,5
E1c_1511301440421,7,car,5
E1c_1511301440421,8,phone,5
E1c_1511301634355,2,couch,7
E1c_1511301634355,3,carrot,7
E1c_1511301634355,4,phone,7
E1c_1511301634355,5,cat,7
E1c_1511301634355,6,ice cream,7
E1c_1511301634355,7,cup,7
E1c_1511301634355,8,shoe,7
E1c_1511301807087,2,couch,10
E1c_1511301807087,3,carrot,10
E1c_1511301807087,4,chair,10
E1c_1511301807087,5,train,10
E1c_1511301807087,6,shoe,10
E1c_1511301807087,7,boat,10
E1c_1511301807087,8,cup,10
