,sessionID,age,tracing_item,f1_score,precision,recall,tp,tn,fp,fn
20,v31525895728803,6,shape,0.2141448295294449,0.22218973834234762,0.20666213460231136,1520,173948,5321,5835
21,v31525895728803,6,this circle,0.2977591323032846,0.30950861518825784,0.28686908517350157,1455,178306,3246,3617
22,v31525897661521,2,square,0.0,0.0,0.0,0,183004,0,3620
23,v31525897661521,2,shape,0.04302165568190048,0.046032238065716054,0.040380693405846366,297,173114,6155,7058
24,v31525899254114,4,square,0.2483317445185891,0.21835708298407377,0.2878453038674033,1042,179274,3730,2578
25,v31525901322190,2,square,0.009307135470527403,0.07258064516129033,0.004972375690607734,18,182774,230,3602
26,v31525901714819,3,square,0.0,0.0,0.0,0,182778,226,3620
27,v31525902126553,11,square,0.21651422127552938,0.1981196973171291,0.23867403314917127,864,179507,3497,2756
28,v31525902126553,11,shape,0.24303093500173792,0.24864864864864866,0.23766145479265804,1748,173987,5282,5607
29,v31525902126553,11,this circle,0.040320878192949126,0.04338936846887778,0.03765772870662461,191,177341,4211,4881
30,v31525904067360,3,square,0.07540248624414102,0.14374514374514374,0.05110497237569061,185,181902,1102,3435
31,v31525908206117,4,square,0.036547560776635665,0.04463929852530889,0.030939226519337018,112,180607,2397,3508
32,v31525908387543,4,square,0.23059475806451613,0.21200185356811863,0.2527624309392265,915,179603,3401,2705
33,v31525908387543,4,shape,0.28751814223512334,0.30832684824902723,0.26934058463630184,1981,174825,4444,5374
34,v31525908387543,4,this circle,0.20049457865702874,0.19367879456082324,0.207807570977918,1054,177164,4388,4018
35,v31525908911986,8,square,0.2341186628839275,0.21149988856697124,0.2621546961325967,949,179466,3538,2671
36,v31525973096978,11,square,0.10017990720575702,0.07621380204581472,0.14613259668508288,529,176592,6412,3091
37,v31525973096978,11,shape,0.09636321519573778,0.11150822015725519,0.08484024473147518,624,174297,4972,6731
38,v31525973096978,11,this circle,0.05470149957559181,0.052431748327608024,0.05717665615141956,290,176311,5241,4782
39,v31525974358965,6,square,0.20916976456009914,0.1896629213483146,0.23314917127071824,844,179398,3606,2776
40,v31525974676521,6,square,0.4451868349418461,0.4031824294038548,0.49696132596685083,1799,180341,2663,1821
41,v31525974676521,6,shape,0.2687787429739397,0.2901954602774275,0.2503059143439837,1841,174766,4503,5514
42,v31525975379407,4,square,0.22694864048338367,0.20171858216970998,0.25939226519337016,939,179288,3716,2681
43,v31525975379407,4,shape,0.027529411764705882,0.10218340611353711,0.015907545887151597,117,178241,1028,7238
44,v31525976032935,6,square,0.12232475947378757,0.09488272921108742,0.17209944751381215,623,177061,5943,2997
45,v31525976032935,6,shape,0.008843470570895155,0.015946137491141033,0.006118286879673691,45,176492,2777,7310
46,v31525976865876,5,square,0.2952593812492648,0.25711944273714404,0.34668508287292815,1255,179378,3626,2365
47,v31525976865876,5,shape,0.3231030962912555,0.323433242506812,0.32277362338545207,2374,174303,4966,4981
48,v31525976865876,5,this circle,0.026315789473684213,0.02530954115076475,0.027405362776025236,139,176199,5353,4933
49,v31525984464310,4,square,0.180825995287114,0.16407832545577314,0.20138121546961327,729,179290,3714,2891
50,v31525984464310,4,shape,0.3109669251463839,0.37194775695627486,0.2671651937457512,1965,175951,3318,5390
51,v31525984944345,3,square,0.24238777229510172,0.21475794412454682,0.2781767955801105,1007,179322,3682,2613
52,v31525984944345,3,shape,0.3052541753017189,0.27665451331344604,0.3404486743711761,2504,172722,6547,4851
53,v31525990258467,2,square,0.2409839980893241,0.21224232225494322,0.2787292817679558,1009,179259,3745,2611
54,v31525992411710,3,square,0.022495313476359094,0.04572396274343776,0.014917127071823204,54,181877,1127,3566
55,v31525992682386,3,square,0.07730485787336441,0.0848464839881149,0.07099447513812154,257,180232,2772,3363
56,v31525993726883,9,square,0.2725865968337103,0.23948964651746496,0.31629834254143646,1145,179368,3636,2475
57,v31526060310716,7,square,0.48417132216014896,0.43968432919954903,0.5386740331491713,1950,180519,2485,1670
58,v31526060310716,7,shape,0.43073471676948966,0.44463742943986106,0.417675050985724,3072,175432,3837,4283
59,v31526060310716,7,this circle,0.21681203872328192,0.21096810296586457,0.22298895899053628,1131,177322,4230,3941
60,v31526060708396,7,square,0.11266201395812563,0.576530612244898,0.062430939226519336,226,182838,166,3394
61,v31526060998610,6,square,0.22038906673233197,0.1988005330964016,0.2472375690607735,895,179397,3607,2725
62,v31526060998610,6,shape,0.3837273991655077,0.39274021352313165,0.375118966689327,2759,175003,4266,4596
63,v31526060998610,6,this circle,0.2140228192859772,0.20065562456866803,0.2292981072555205,1163,176919,4633,3909
64,v31526061437727,6,square,0.5638435334194761,0.49049662783568365,0.6629834254143646,2400,180511,2493,1220
65,v31526061437727,6,shape,0.23450219160926739,0.27633277992990224,0.20367097212780422,1498,175346,3923,5857
66,v31526061799166,7,square,0.16267823930564163,0.14758155230596176,0.18121546961325966,656,179215,3789,2964
67,v31526061799166,7,shape,0.345047498837441,0.3373603533385295,0.3530931339225017,2597,174168,5101,4758
68,v31526061799166,7,this circle,0.3429355281207134,0.3408648227502922,0.34503154574132494,1750,178168,3384,3322
69,v31526061874268,7,square,0.16223067173637515,0.14988290398126464,0.17679558011049723,640,179374,3630,2980
70,v31526061874268,7,shape,0.4006192367234301,0.39669421487603307,0.40462270564242014,2976,174743,4526,4379
71,v31526061874268,7,this circle,0.028375733855185912,0.028166278166278168,0.02858832807570978,145,176549,5003,4927
72,v31526061922561,7,square,0.03490909090909091,0.031101511879049675,0.039779005524861875,144,178518,4486,3476
73,v31526061922561,7,shape,0.42222664807807214,0.412558380902958,0.4323589394969409,3180,174741,4528,4175
74,v31526061922561,7,this circle,0.07060964513193813,0.06556269009800608,0.07649842271293375,388,176022,5530,4684
75,v31526063462438,6,square,0.5398877775067089,0.4833988641328091,0.6113259668508287,2213,180639,2365,1407
76,v31526063462438,6,shape,0.3207521273675542,0.3238187612581405,0.3177430319510537,2337,174389,4880,5018
77,v31526063462438,6,this circle,0.14788873323994398,0.150142218610321,0.1457018927444795,739,177369,4183,4333
78,v31526063950237,6,square,0.25422518447988574,0.2233375156838143,0.2950276243093923,1068,179290,3714,2552
79,v31526063950237,6,shape,0.3406200317965024,0.3321276320888774,0.3495581237253569,2571,174099,5170,4784
80,v31526063950237,6,this circle,0.10165975103734438,0.09743311641359363,0.10626971608832808,539,176559,4993,4533
81,v31526064139398,7,square,0.3892926356589147,0.34663503019844694,0.4439226519337017,1607,179975,3029,2013
82,v31526064139398,7,shape,0.554833413149073,0.5583861195263012,0.5513256288239293,4055,176062,3207,3300
83,v31526064139398,7,this circle,0.36212019553340363,0.3523596343965678,0.3724369085173502,1889,178080,3472,3183
84,v31526064497532,7,square,0.29368754569826955,0.2627562145660706,0.3328729281767956,1205,179623,3381,2415
85,v31526064497532,7,shape,0.5028061396984245,0.5001345170836696,0.5055064581917064,3718,175553,3716,3637
86,v31526064497532,7,this circle,0.1442998640512721,0.1421737466513586,0.14649053627760253,743,177069,4483,4329
87,v31526064586872,7,square,0.30724928008013025,0.28097091825051523,0.33895027624309393,1227,179864,3140,2393
88,v31526064719488,7,square,0.2114659290922806,0.19404706968158744,0.23232044198895027,841,179511,3493,2779
89,v31526064719488,7,shape,0.46326431687556263,0.4720575783234547,0.45479265805574437,3345,175528,3741,4010
90,v31526064719488,7,this circle,0.18040665434380776,0.1697981906750174,0.19242902208201892,976,176780,4772,4096
91,v31526064952740,2,square,0.19064535227945528,0.16683937823834197,0.2223756906077348,805,178984,4020,2815
92,v31526064952740,2,shape,0.022972662531587414,0.07401924500370097,0.013596193065941536,100,178018,1251,7255
93,v31526067194650,2,square,0.04056639877535399,0.031030444964871194,0.05856353591160221,212,176384,6620,3408
94,v31526067194650,2,shape,0.032526827967739785,0.03190376569037657,0.03317471108089735,244,171865,7404,7111
95,v31526067194650,2,this circle,0.10151776282870963,0.07069299264421215,0.18000788643533122,913,169550,12002,4159
96,v31526072349961,5,square,0.19071608492263403,0.14140875133404482,0.292817679558011,1060,176568,6436,2560
97,v31526072349961,5,shape,0.20523638168507258,0.18874814561223324,0.22488103331067302,1654,172160,7109,5701
98,v31526072349961,5,this circle,0.03874623046696518,0.036109691704990635,0.0417981072555205,212,175893,5659,4860
99,v31526072947360,5,square,0.30269754117927905,0.26649852879361074,0.35027624309392263,1268,179514,3490,2352
100,v31526072947360,5,shape,0.013051584835301428,0.0274032187907786,0.008565601631543168,63,177033,2236,7292
101,v31526072947360,5,this circle,0.17334882044298472,0.10877104800201055,0.42665615141955837,2164,163821,17731,2908
102,v31526073488506,4,square,0.015801354401805866,0.018977536793183578,0.013535911602209945,49,180471,2533,3571
103,v31526073488506,4,shape,0.4668646338813645,0.4995350278983261,0.4382053025152957,3223,176040,3229,4132
104,v31526073488506,4,this circle,0.1259043502771775,0.12026566146113804,0.13209779179810727,670,176651,4901,4402
105,v31526074471797,8,square,0.4810495626822157,0.4293148308759757,0.5469613259668509,1980,180372,2632,1640
106,v31526074471797,8,shape,0.46338196940861354,0.48111826697892274,0.4469068660774983,3287,175724,3545,4068
107,v31526074471797,8,this circle,0.1341003769093434,0.1349301397205589,0.1332807570977918,676,177218,4334,4396
108,v31526076014598,11,square,0.025176117334565193,0.02163127604683469,0.03011049723756906,109,178074,4930,3511
109,v31526078151101,3,square,0.166351606805293,0.12643678160919541,0.2430939226519337,880,176924,6080,2740
110,v31526078151101,3,shape,0.26760654465498285,0.25518006906758756,0.2813052345343304,2069,173230,6039,5286
111,v31526078151101,3,this circle,0.1268039253415432,0.12382562946260804,0.12992902208201892,659,176889,4663,4413
112,v31526078606222,3,square,0.0,0.0,0.0,0,175346,7658,3620
113,v31526078606222,3,shape,0.035642152786028274,0.14124293785310735,0.020394289598912305,150,178357,912,7205
114,v31526078928446,4,square,0.3618877208678148,0.30402104472003005,0.44696132596685084,1618,179300,3704,2002
115,v31526078928446,4,shape,0.294445198967812,0.2941256274589608,0.2947654656696125,2168,174066,5203,5187
116,v31526078928446,4,this circle,0.1403688524590164,0.14611774744027303,0.1350552050473186,685,177549,4003,4387
117,v31526143945119,11,square,0.5121859767529059,0.4677014380278475,0.5660220994475138,2049,180672,2332,1571
118,v31526143945119,11,shape,0.49180100055586434,0.5029131732272275,0.481169272603671,3539,175771,3498,3816
119,v31526143945119,11,this circle,0.28753993610223644,0.2912621359223301,0.28391167192429023,1440,178048,3504,3632
120,v31526144135278,4,square,0.1585188770571152,0.14104220499569337,0.18093922651933703,655,179015,3989,2965
121,v31526144135278,4,shape,0.0,0.0,0.0,0,178137,1132,7355
122,v31526148488690,2,square,0.0,0.0,0.0,0,180635,2369,3620
123,v31526148488690,2,shape,0.0,0.0,0.0,0,172758,6511,7355
124,v31526148488690,2,this circle,0.0,0.0,0.0,0,174137,7415,5072
125,v31526148565492,3,square,0.0,0.0,0.0,0,181366,1638,3620
126,v31526148565492,3,shape,0.024078024992380372,0.027387762177153753,0.021481985044187628,158,173658,5611,7197
127,v31526148565492,3,this circle,0.014922656960873523,0.013856032443393038,0.016167192429022082,82,175716,5836,4990
128,v31526148649096,8,square,0.0,0.0,0.0,0,182953,51,3620
129,v31526148748919,8,square,0.19451728247914182,0.1710691823899371,0.225414364640884,816,179050,3954,2804
130,v31526149013447,11,square,0.20334840523035563,0.18233618233618235,0.22983425414364642,832,179273,3731,2788
131,v31526149013447,11,shape,0.4612507791398296,0.47007340485601357,0.45275322909585314,3330,175515,3754,4025
132,v31526149013447,11,this circle,0.16768072599773126,0.1757837837837838,0.16029179810725552,813,177740,3812,4259
133,v31526150370058,8,square,0.5991654393716249,0.5390901060070671,0.6743093922651934,2441,180917,2087,1179
134,v31526151383057,10,square,0.43769889840881276,0.39296703296703295,0.49392265193370166,1788,180242,2762,1832
135,v31526151383057,10,shape,0.490927624872579,0.4907608695652174,0.4910944935418083,3612,175521,3748,3743
136,v31526151383057,10,this circle,0.2366602687140115,0.23055347793567688,0.2430993690851735,1233,177437,4115,3839
137,v31526152332221,10,square,0.6477823332090943,0.588620456084895,0.7201657458563536,2607,181182,1822,1013
138,v31526152332221,10,shape,0.42755407653910144,0.41877444589309,0.43670972127804214,3212,174811,4458,4143
139,v31526152332221,10,this circle,0.1018012366699525,0.09331361918843437,0.11198738170347003,568,176033,5519,4504
140,v31526152658322,2,square,0.01778121376111326,0.029601029601029602,0.01270718232044199,46,181496,1508,3574
141,v31526152868212,8,square,0.364244978923878,0.3304093567251462,0.4058011049723757,1469,180027,2977,2151
142,v31526152868212,8,shape,0.5792620078334364,0.5855793275909975,0.5730795377294358,4215,176286,2983,3140
143,v31526152868212,8,this circle,0.08289112534309241,0.07733014680778423,0.08931388012618297,453,176147,5405,4619
144,v31526153674851,11,square,0.1290612703766161,0.10881516587677725,0.15856353591160222,574,178303,4701,3046
145,v31526153674851,11,shape,0.33070866141732286,0.31478068558791006,0.34833446634942217,2562,173692,5577,4793
146,v31526154008666,11,square,0.0,0.0,0.0,0,180594,2410,3620
147,v31526154008666,11,shape,0.07167352537722908,0.09700626595497795,0.05683208701563562,418,175378,3891,6937
148,v31526154008666,11,this circle,0.058402602096133,0.046102932785575715,0.07965299684542587,404,173193,8359,4668
149,v31526154337782,3,square,0.002572347266881029,0.0019270474879559533,0.0038674033149171273,14,175753,7251,3606
150,v31526154337782,3,shape,0.010978126289723483,0.00788148148148148,0.018082936777702244,133,162527,16742,7222
151,v31526154337782,3,this circle,0.0,0.0,0.0,0,174043,7509,5072
152,v31526154627196,3,square,0.022465638735784554,0.015028470083076636,0.044475138121546964,161,172452,10552,3459
153,v31526154627196,3,shape,0.060073988183976586,0.05057642246188174,0.07396329027872196,544,169057,10212,6811
154,v31526154627196,3,this circle,0.03549139849134423,0.0244852115312617,0.06447160883280757,327,168524,13028,4745
155,v31526154829898,3,square,0.03992592927148728,0.023864802116516388,0.12209944751381216,442,164925,18079,3178
156,v31526154829898,3,shape,0.09656486277311424,0.08589281931794111,0.11026512576478587,811,170638,8631,6544
157,v31526154829898,3,this circle,0.10060821084642675,0.07412247946228528,0.15654574132492113,794,171634,9918,4278
158,v31526154949156,2,square,0.0009718172983479105,0.0007496251874062968,0.0013812154696132596,5,176339,6665,3615
159,v31526154949156,2,shape,0.1023963044942739,0.17523056653491437,0.07233174711080897,532,176765,2504,6823
160,v31526155592798,11,square,0.10961116880119996,0.09411531602932435,0.13121546961325967,475,178432,4572,3145
161,v31526155592798,11,shape,0.16372512204280887,0.15168734779079207,0.1778382053025153,1308,171954,7315,6047
162,v31526155592798,11,this circle,0.08140242216446386,0.056567519790946125,0.14511041009463724,736,169277,12275,4336
163,v31526155956525,9,square,0.6382872790639781,0.5808790212958768,0.7082872928176795,2564,181154,1850,1056
164,v31526155956525,9,shape,0.49124002999522803,0.492616899097621,0.48987083616587357,3603,175558,3711,3752
165,v31526155956525,9,this circle,0.2610221992772328,0.2740082375894212,0.24921135646687698,1264,178203,3349,3808
166,v31526157427450,5,square,0.28191616766467065,0.24883720930232558,0.3251381215469613,1177,179451,3553,2443
167,v31526157427450,5,shape,0.39782810223811416,0.3877630050342068,0.40842963970088375,3004,174526,4743,4351
168,v31526157427450,5,this circle,0.09046052631578948,0.0842983651226158,0.09759463722397477,495,176175,5377,4577
169,v31526157685006,6,square,0.3934386973180077,0.34721048182586645,0.45386740331491715,1643,179915,3089,1977
170,v31526157685006,6,shape,0.3441983471074381,0.335006435006435,0.3539089055064582,2603,174102,5167,4752
171,v31526157685006,6,this circle,0.17449408171057654,0.16913397483345669,0.18020504731861198,914,177062,4490,4158
172,v31526158807742,5,square,0.5112484548825712,0.4626398210290828,0.5712707182320442,2068,180602,2402,1552
173,v31526158807742,5,shape,0.5710388104494919,0.5729537366548043,0.5691366417403128,4186,176149,3120,3169
174,v31526158807742,5,this circle,0.04931564099885069,0.052456101355856856,0.04652996845425868,236,177289,4263,4836
175,v31526160539320,2,square,0.34190510684534586,0.3036671670598327,0.3911602209944751,1416,179757,3247,2204
176,v31526160539320,2,shape,0.2946506143725953,0.27103550633633977,0.32277362338545207,2374,172884,6385,4981
177,v31526160539320,2,this circle,0.3534548215641609,0.34077598828696926,0.3671135646687697,1862,177950,3602,3210
178,v31526160653931,11,square,0.3324588600047698,0.292488459924465,0.3850828729281768,1394,179632,3372,2226
179,v31526160653931,11,shape,0.365280052407468,0.3524652338811631,0.37906186267845005,2788,174147,5122,4567
180,v31526160653931,11,this circle,0.1707361850559941,0.1597389213328753,0.1833596214511041,930,176660,4892,4142
181,v31526160796383,2,square,0.04054151885904583,0.02332750145796884,0.15469613259668508,560,159558,23446,3060
182,v31526160796383,2,shape,0.1277181654163897,0.09812504559714015,0.18286879673691367,1345,166907,12362,6010
183,v31526162026170,4,square,0.3634146341463414,0.32532751091703055,0.4116022099447514,1490,179914,3090,2130
184,v31526162026170,4,shape,0.10707964601769912,0.28724035608308607,0.06580557443915704,484,178068,1201,6871
185,v31526162477315,2,square,0.1858239457681188,0.14537513648416783,0.2574585635359116,932,177525,5479,2688
186,v31526162477315,2,shape,0.24400459366344657,0.2424812030075188,0.24554724677090414,1806,173627,5642,5549
187,v31526162477315,2,this circle,0.01578798985057795,0.015083497934997307,0.016561514195583597,84,176067,5485,4988
188,v31526163240923,11,square,0.18963399656104155,0.17072091994692615,0.2132596685082873,772,179254,3750,2848
189,v31526163240923,11,shape,0.28634153990904815,0.33821077977403224,0.24826648538409246,1826,175696,3573,5529
190,v31526163636798,2,square,0.11061946902654868,0.1662971175166297,0.08287292817679558,300,181500,1504,3320
191,v31526163910656,8,square,0.21345766129032254,0.19624652455977756,0.23397790055248618,847,179535,3469,2773
192,v31526163910656,8,shape,0.2632311977715877,0.2698072805139186,0.25696804894629505,1890,174154,5115,5465
193,v31526163910656,8,this circle,0.06047054248493097,0.05964710395090142,0.06131703470031546,311,176649,4903,4761
194,v31526164238357,8,square,0.26236297198538366,0.234640522875817,0.29751381215469613,1077,179491,3513,2543
195,v31526164238357,8,shape,0.3462567762300144,0.3495428096425603,0.343031951053705,2523,174574,4695,4832
196,v31526164238357,8,this circle,0.29356514788169463,0.2976094003241491,0.28962933753943215,1469,178085,3467,3603
197,v31526166383560,4,square,0.0700561631687851,0.07533375715193898,0.0654696132596685,237,180095,2909,3383
198,v31526166579282,4,square,0.41505882352941176,0.3614754098360656,0.487292817679558,1764,179888,3116,1856
199,v31526166579282,4,shape,0.41975957432831895,0.40607524148449414,0.4343983684568321,3195,174596,4673,4160
200,v31526166579282,4,this circle,0.0853258321612752,0.08135168961201501,0.08970820189274448,455,176414,5138,4617
201,v31526167651102,4,square,0.32792925571112747,0.2952233524988943,0.3687845303867403,1335,179817,3187,2285
202,v31526167651102,4,shape,0.3722032113714135,0.3606682821068741,0.3845003399048266,2828,174256,5013,4527
203,v31526167651102,4,this circle,0.2153357171235598,0.21697357886309046,0.2137223974763407,1084,177640,3912,3988
204,v31526168752022,6,square,0.24592592592592594,0.5257918552036199,0.16049723756906079,581,182480,524,3039
205,v31526168752022,6,shape,0.47076387160985317,0.43389519550510264,0.5144799456152277,3784,174332,4937,3571
206,v31526168752022,6,this circle,0.03977724741447892,0.04012841091492777,0.03943217665615142,200,176768,4784,4872
207,v31526230799543,4,square,0.06115715780156112,0.043147496309753605,0.10497237569060773,380,174577,8427,3240
208,v31526230799543,4,shape,0.055235073550620135,0.058805465991094735,0.052073419442556085,383,173139,6130,6972
209,v31526239192649,4,square,0.43278217109992817,0.38214134574693187,0.4988950276243094,1806,180084,2920,1814
210,v31526239192649,4,shape,0.42138282577440855,0.4056876808858689,0.4383412644459551,3224,174546,4723,4131
211,v31526239192649,4,this circle,0.08023029064908534,0.07582938388625593,0.08517350157728706,432,176287,5265,4640
212,v31526240601849,6,square,0.3992057686278609,0.32106236342242395,0.5276243093922652,1910,178965,4039,1710
213,v31526240601849,6,shape,0.3652279307790721,0.3617929562433298,0.3687287559483345,2712,174485,4784,4643
214,v31526240601849,6,this circle,0.1943247863247863,0.14874908405736417,0.2801656151419558,1421,173420,8132,3651
215,v31526241319670,2,square,0.021994690936670457,0.02027499417385225,0.024033149171270717,87,178800,4204,3533
216,v31526241319670,2,shape,0.0621732636295743,0.09919571045576407,0.04527532290958532,333,176245,3024,7022
217,v31526244386384,7,square,0.4113267423410228,0.3684670894380057,0.4654696132596685,1685,180116,2888,1935
218,v31526244386384,7,shape,0.4310615899924807,0.43346164421226285,0.42868796736913667,3153,175148,4121,4202
219,v31526244386384,7,this circle,0.04710324952797376,0.047485473852935285,0.04672712933753943,237,176798,4754,4835
220,v31526245726886,3,square,0.0931323283082077,0.07816307403936269,0.11519337016574585,417,178086,4918,3203
221,v31526245726886,3,shape,0.29963795184184816,0.2595062711526976,0.35445275322909586,2607,171830,7439,4748
222,v31526245726886,3,this circle,0.08475196778326927,0.07909121967885206,0.09128548895899054,463,176161,5391,4609
223,v31526247467722,9,square,0.3982889733840304,0.3494578815679733,0.46298342541436466,1676,179884,3120,1944
224,v31526247467722,9,shape,0.5110551738213484,0.511437908496732,0.5106730115567641,3756,175681,3588,3599
225,v31526247467722,9,this circle,0.09159274971075973,0.08962264150943396,0.09365141955835962,475,176727,4825,4597
226,v31526249267204,2,square,0.13393528969149737,0.10962519795882457,0.17209944751381215,623,177944,5060,2997
227,v31526249267204,2,shape,0.18245469522240526,0.18425065853320394,0.180693405846363,1329,173385,5884,6026
228,v31526249267204,2,this circle,0.025769506084466712,0.023591087811271297,0.028391167192429023,144,175592,5960,4928
229,v31526249613486,11,square,0.4570518318833477,0.4107024884386699,0.5151933701657458,1865,180328,2676,1755
230,v31526249613486,11,shape,0.4629139072847683,0.4512588766946417,0.4751869476546567,3495,175019,4250,3860
231,v31526249613486,11,this circle,0.0,0.0,0.0,0,173135,8417,5072
232,v31526249878999,8,square,0.47878390201224846,0.39627081824764665,0.6046961325966851,2189,179669,3335,1431
233,v31526249878999,8,shape,0.5582252559726961,0.5605209047292666,0.5559483344663494,4089,176063,3206,3266
234,v31526250064091,4,square,0.0,0.0,0.0,0,181084,1920,3620
235,v31526250064091,4,shape,0.013528748590755355,0.015126050420168067,0.012236573759347382,90,173409,5860,7265
236,v31526251554792,6,square,0.18323539992804894,0.16189870735325282,0.2110497237569061,764,179049,3955,2856
237,v31526251554792,6,shape,0.4515243065092008,0.4560965459841864,0.4470428280081577,3288,175348,3921,4067
238,v31526251554792,6,this circle,0.1712373137551285,0.1892601431980907,0.15634858044164038,793,178155,3397,4279
239,v31526251955281,6,square,0.22800435677114847,0.2028860650441525,0.26022099447513813,942,179303,3701,2678
240,v31526251955281,6,shape,0.31002613295939824,0.2918166546676266,0.33065941536369814,2432,173367,5902,4923
241,v31526251955281,6,this circle,0.08191181203733505,0.0691952147906471,0.10035488958990536,509,174705,6847,4563
242,v31526252261677,9,square,0.33730407523510975,0.30884041331802525,0.3715469613259669,1345,179994,3010,2275
243,v31526252261677,9,shape,0.45218109261043077,0.4577239169800808,0.4467709041468389,3286,175376,3893,4069
244,v31526252261677,9,this circle,0.2838330632090762,0.291875,0.2762223974763407,1401,178153,3399,3671
245,v31526252692974,7,square,0.23761164810962926,0.21326597847573028,0.268232044198895,971,179422,3582,2649
246,v31526252692974,7,shape,0.4864752967154292,0.4939050021017234,0.47926580557443915,3525,175657,3612,3830
247,v31526252692974,7,this circle,0.10810810810810811,0.10097552627075132,0.11632492113564669,590,176299,5253,4482
248,v31526253016255,8,square,0.3333759427329669,0.3102545800618606,0.3602209944751381,1304,180105,2899,2316
249,v31526253202063,3,square,0.1450929847173633,0.1088097210715272,0.2176795580110497,788,176550,6454,2832
250,v31526253202063,3,shape,0.1926408184618962,0.16825751421608448,0.22528891910265125,1657,171078,8191,5698
251,v31526253458184,9,square,0.5236327641672853,0.4742268041237113,0.5845303867403315,2116,180658,2346,1504
252,v31526253458184,9,shape,0.2992125984251969,0.291441093065223,0.30740992522093813,2261,173772,5497,5094
253,v31526253458184,9,this circle,0.10673682232453253,0.10195656076108418,0.11198738170347003,568,176549,5003,4504
254,v31526254092272,5,square,0.4417133122414213,0.39473684210526316,0.5013812154696132,1815,180221,2783,1805
255,v31526254092272,5,shape,0.5582517763775305,0.5505751685838953,0.5661454792658056,4164,175870,3399,3191
256,v31526254092272,5,this circle,0.29807789071148233,0.3044193216855087,0.2919952681388013,1481,178168,3384,3591
257,v31526254628791,5,square,0.326057467011962,0.2944976609489864,0.3651933701657459,1322,179837,3167,2298
258,v31526254628791,5,shape,0.29943314438146046,0.293848167539267,0.3052345343303875,2245,173874,5395,5110
259,v31526254628791,5,this circle,0.08917326833231769,0.09195643066610809,0.08655362776025237,439,177217,4335,4633
260,v31526254866517,5,square,0.0,0.0,0.0,0,182902,102,3620
261,v31526403599614,2,square,0.08437776933789087,0.04764798398627395,0.36823204419889505,1333,156361,26643,2287
262,v31526403599614,2,shape,0.2496056593853066,0.19246646026831785,0.3549966009517335,2611,168314,10955,4744
263,v31526403599614,2,this circle,0.002728512960436562,0.11864406779661017,0.0013801261829652998,7,181500,52,5065
264,v31526409936551,6,square,0.0,0.0,0.0,0,179685,3319,3620
265,v31526410266990,11,square,0.2645856558900037,0.23983831125084212,0.2950276243093923,1068,179619,3385,2552
266,v31526410266990,11,shape,0.43009149440867506,0.4287837837837838,0.43140720598232496,3173,175042,4227,4182
267,v31526410266990,11,this circle,0.3112326699990569,0.29831856807087326,0.3253154574132492,1650,177671,3881,3422
268,v31526411112241,2,square,0.03810835629017447,0.03260015710919089,0.04585635359116022,166,178078,4926,3454
269,v31526411112241,2,shape,0.0,0.0,0.0,0,178379,890,7355
270,v31526411171270,2,square,0.0506558118498417,0.05575838035180883,0.04640883977900553,168,180159,2845,3452
