"","X1","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","fileNameShort","fullPath","age_numeric","fileNameShortNew","version"
"11",49,"cdm_run_v31525893423612",2,"this circle","age6",1525893621985,2018-05-09 19:20:21,1,0,NA,NA,0.0292370854591837,"(19, 193, 19, 202)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525893423612.png","this circle_sketch_age6_cdm_run_v31525893423612.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525893423612.png",6,"circle_sketch_age6_cdm_run_v31525893423612.png",1
"12",60,"cdm_run_v31525893976840",0,"square","age5",1525894118268,2018-05-09 19:28:38,1,0,NA,NA,0.0196508290816327,"(64, 159, 60, 160)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age5_cdm_run_v31525893976840.png","square_sketch_age5_cdm_run_v31525893976840.png","sketches_full_dataset/square/square_sketch_age5_cdm_run_v31525893976840.png",5,"",1
"13",61,"cdm_run_v31525893976840",1,"shape","age5",1525894144211,2018-05-09 19:29:04,2,9.522,NA,NA,0.0327845982142857,"(7, 219, 42, 147)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age5_cdm_run_v31525893976840.png","shape_sketch_age5_cdm_run_v31525893976840.png","sketches_full_dataset/shape/shape_sketch_age5_cdm_run_v31525893976840.png",5,"",1
"14",62,"cdm_run_v31525893976840",2,"this circle","age5",1525894157751,2018-05-09 19:29:17,1,0,NA,NA,0.0229591836734694,"(73, 204, 42, 187)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age5_cdm_run_v31525893976840.png","this circle_sketch_age5_cdm_run_v31525893976840.png","sketches_full_dataset/this circle/this circle_sketch_age5_cdm_run_v31525893976840.png",5,"circle_sketch_age5_cdm_run_v31525893976840.png",1
"15",79,"cdm_run_v31525895728803",0,"square","age6",1525895939885,2018-05-09 19:58:59,2,8.11,NA,NA,0.0207071109693878,"(61, 160, 64, 162)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525895728803.png","square_sketch_age6_cdm_run_v31525895728803.png","sketches_full_dataset/square/square_sketch_age6_cdm_run_v31525895728803.png",6,"",1
"16",80,"cdm_run_v31525895728803",1,"shape","age6",1525895959956,2018-05-09 19:59:19,1,0,NA,NA,0.0322464923469388,"(13, 204, 42, 145)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525895728803.png","shape_sketch_age6_cdm_run_v31525895728803.png","sketches_full_dataset/shape/shape_sketch_age6_cdm_run_v31525895728803.png",6,"",1
"17",81,"cdm_run_v31525895728803",2,"this circle","age6",1525895973758,2018-05-09 19:59:33,5,5.101,NA,NA,0.0209263392857143,"(45, 177, 67, 181)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525895728803.png","this circle_sketch_age6_cdm_run_v31525895728803.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525895728803.png",6,"circle_sketch_age6_cdm_run_v31525895728803.png",1
"18",94,"cdm_run_v31525899254114",0,"square","age4",1525899275033,2018-05-09 20:54:35,9,4.79,NA,NA,0.0229591836734694,"(51, 175, 55, 169)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525899254114.png","square_sketch_age4_cdm_run_v31525899254114.png","sketches_full_dataset/square/square_sketch_age4_cdm_run_v31525899254114.png",4,"",1
"19",95,"cdm_run_v31525899254114",1,"shape","age4",1525899299698,2018-05-09 20:54:59,1,0,NA,NA,0.0365911989795918,"(9, 216, 42, 150)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525899254114.png","shape_sketch_age4_cdm_run_v31525899254114.png","sketches_full_dataset/shape/shape_sketch_age4_cdm_run_v31525899254114.png",4,"",1
"20",96,"cdm_run_v31525899254114",2,"this circle","age4",1525899325617,2018-05-09 20:55:25,2,10.284,NA,NA,0.0437260841836735,"(31, 198, 54, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age4_cdm_run_v31525899254114.png","this circle_sketch_age4_cdm_run_v31525899254114.png","sketches_full_dataset/this circle/this circle_sketch_age4_cdm_run_v31525899254114.png",4,"circle_sketch_age4_cdm_run_v31525899254114.png",1
"21",107,"cdm_run_v31525901322190",1,"shape","age2",1525901366663,2018-05-09 21:29:26,12,4.414,NA,NA,0.026985012755102,"(15, 204, 55, 154)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age2_cdm_run_v31525901322190.png","shape_sketch_age2_cdm_run_v31525901322190.png","sketches_full_dataset/shape/shape_sketch_age2_cdm_run_v31525901322190.png",2,"",1
"22",108,"cdm_run_v31525901322190",2,"this circle","age2",1525901377654,2018-05-09 21:29:37,1,0,NA,NA,0.0212053571428571,"(43, 184, 42, 168)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age2_cdm_run_v31525901322190.png","this circle_sketch_age2_cdm_run_v31525901322190.png","sketches_full_dataset/this circle/this circle_sketch_age2_cdm_run_v31525901322190.png",2,"circle_sketch_age2_cdm_run_v31525901322190.png",1
"23",117,"cdm_run_v31525901714819",0,"square","age3",1525901913589,2018-05-09 21:38:33,7,18.416,NA,NA,0.0212452168367347,"(64, 220, 51, 169)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age3_cdm_run_v31525901714819.png","square_sketch_age3_cdm_run_v31525901714819.png","sketches_full_dataset/square/square_sketch_age3_cdm_run_v31525901714819.png",3,"",1
"24",118,"cdm_run_v31525901714819",1,"shape","age3",1525901936715,2018-05-09 21:38:56,6,12.333,NA,NA,0.0369100765306122,"(12, 217, 33, 160)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age3_cdm_run_v31525901714819.png","shape_sketch_age3_cdm_run_v31525901714819.png","sketches_full_dataset/shape/shape_sketch_age3_cdm_run_v31525901714819.png",3,"",1
"25",119,"cdm_run_v31525901714819",2,"this circle","age3",1525901955275,2018-05-09 21:39:15,1,0,NA,NA,0.0153659119897959,"(93, 199, 81, 166)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age3_cdm_run_v31525901714819.png","this circle_sketch_age3_cdm_run_v31525901714819.png","sketches_full_dataset/this circle/this circle_sketch_age3_cdm_run_v31525901714819.png",3,"circle_sketch_age3_cdm_run_v31525901714819.png",1
"26",125,"cdm_run_v31525904067360",0,"square","age3",1525906480466,2018-05-09 22:54:40,75,13.868,NA,NA,0.0448022959183673,"(45, 175, 57, 214)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age3_cdm_run_v31525904067360.png","square_sketch_age3_cdm_run_v31525904067360.png","sketches_full_dataset/square/square_sketch_age3_cdm_run_v31525904067360.png",3,"",1
"27",126,"cdm_run_v31525904067360",1,"shape","age3",1525906499402,2018-05-09 22:54:59,1,0,NA,NA,0.0377072704081633,"(3, 207, 42, 163)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age3_cdm_run_v31525904067360.png","shape_sketch_age3_cdm_run_v31525904067360.png","sketches_full_dataset/shape/shape_sketch_age3_cdm_run_v31525904067360.png",3,"",1
"28",127,"cdm_run_v31525904067360",2,"this circle","age3",1525906517307,2018-05-09 22:55:17,9,4.199,NA,NA,0.0413345025510204,"(0, 195, 12, 216)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age3_cdm_run_v31525904067360.png","this circle_sketch_age3_cdm_run_v31525904067360.png","sketches_full_dataset/this circle/this circle_sketch_age3_cdm_run_v31525904067360.png",3,"circle_sketch_age3_cdm_run_v31525904067360.png",1
"29",140,"cdm_run_v31525908206117",0,"square","age4",1525908232547,2018-05-09 23:23:52,18,5.709,NA,NA,0.0318877551020408,"(39, 156, 61, 219)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525908206117.png","square_sketch_age4_cdm_run_v31525908206117.png","sketches_full_dataset/square/square_sketch_age4_cdm_run_v31525908206117.png",4,"",1
"30",141,"cdm_run_v31525908206117",1,"shape","age4",1525908267752,2018-05-09 23:24:27,12,1.547,NA,NA,0.0304328762755102,"(13, 202, 43, 208)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525908206117.png","shape_sketch_age4_cdm_run_v31525908206117.png","sketches_full_dataset/shape/shape_sketch_age4_cdm_run_v31525908206117.png",4,"",1
"31",144,"cdm_run_v31525908387543",0,"square","age4",1525908430425,2018-05-09 23:27:10,1,0,NA,NA,0.020687181122449,"(60, 162, 63, 165)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525908387543.png","square_sketch_age4_cdm_run_v31525908387543.png","sketches_full_dataset/square/square_sketch_age4_cdm_run_v31525908387543.png",4,"",1
"32",145,"cdm_run_v31525908387543",1,"shape","age4",1525908460594,2018-05-09 23:27:40,2,20.331,NA,NA,0.0310307716836735,"(10, 202, 46, 150)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525908387543.png","shape_sketch_age4_cdm_run_v31525908387543.png","sketches_full_dataset/shape/shape_sketch_age4_cdm_run_v31525908387543.png",4,"",1
"33",146,"cdm_run_v31525908387543",2,"this circle","age4",1525908474666,2018-05-09 23:27:54,1,0,NA,NA,0.0238958864795918,"(45, 186, 40, 175)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age4_cdm_run_v31525908387543.png","this circle_sketch_age4_cdm_run_v31525908387543.png","sketches_full_dataset/this circle/this circle_sketch_age4_cdm_run_v31525908387543.png",4,"circle_sketch_age4_cdm_run_v31525908387543.png",1
"34",148,"cdm_run_v31525908911986",0,"square","age8",1525909041623,2018-05-09 23:37:21,1,0,NA,NA,0.0212850765306122,"(55, 162, 64, 166)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age8_cdm_run_v31525908911986.png","square_sketch_age8_cdm_run_v31525908911986.png","sketches_full_dataset/square/square_sketch_age8_cdm_run_v31525908911986.png",8,"",1
"35",152,"cdm_run_v31525974358965",0,"square","age6",1525974550530,2018-05-10 17:49:10,1,0,NA,NA,0.0174585459183673,"(63, 154, 61, 168)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525974358965.png","square_sketch_age6_cdm_run_v31525974358965.png","sketches_full_dataset/square/square_sketch_age6_cdm_run_v31525974358965.png",6,"",1
"36",153,"cdm_run_v31525974358965",2,"this circle","age6",1525974571431,2018-05-10 17:49:31,2,9.068,NA,NA,0.0193319515306122,"(46, 166, 55, 172)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525974358965.png","this circle_sketch_age6_cdm_run_v31525974358965.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525974358965.png",6,"circle_sketch_age6_cdm_run_v31525974358965.png",1
"37",162,"cdm_run_v31525975379407",0,"square","age4",1525975403628,2018-05-10 18:03:23,1,0,NA,NA,0.0217235331632653,"(57, 168, 58, 163)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525975379407.png","square_sketch_age4_cdm_run_v31525975379407.png","sketches_full_dataset/square/square_sketch_age4_cdm_run_v31525975379407.png",4,"",1
"38",163,"cdm_run_v31525975379407",1,"shape","age4",1525975438886,2018-05-10 18:03:58,8,1.256,NA,NA,0.0202686543367347,"(13, 219, 75, 219)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525975379407.png","shape_sketch_age4_cdm_run_v31525975379407.png","sketches_full_dataset/shape/shape_sketch_age4_cdm_run_v31525975379407.png",4,"",1
"39",164,"cdm_run_v31525975379407",2,"this circle","age4",1525975467248,2018-05-10 18:04:27,4,11.845,NA,NA,0.0203483737244898,"(46, 180, 64, 192)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age4_cdm_run_v31525975379407.png","this circle_sketch_age4_cdm_run_v31525975379407.png","sketches_full_dataset/this circle/this circle_sketch_age4_cdm_run_v31525975379407.png",4,"circle_sketch_age4_cdm_run_v31525975379407.png",1
"40",174,"cdm_run_v31525976032935",0,"square","age6",1525976217514,2018-05-10 18:16:57,2,1.9,NA,NA,0.0274234693877551,"(54, 162, 66, 163)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age6_cdm_run_v31525976032935.png","square_sketch_age6_cdm_run_v31525976032935.png","sketches_full_dataset/square/square_sketch_age6_cdm_run_v31525976032935.png",6,"",1
"41",175,"cdm_run_v31525976032935",1,"shape","age6",1525976230608,2018-05-10 18:17:10,5,0.733,NA,NA,0.0137117346938776,"(12, 223, 105, 214)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age6_cdm_run_v31525976032935.png","shape_sketch_age6_cdm_run_v31525976032935.png","sketches_full_dataset/shape/shape_sketch_age6_cdm_run_v31525976032935.png",6,"",1
"42",176,"cdm_run_v31525976032935",2,"this circle","age6",1525976241738,2018-05-10 18:17:21,2,8.896,NA,NA,0.0256895727040816,"(19, 189, 34, 181)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age6_cdm_run_v31525976032935.png","this circle_sketch_age6_cdm_run_v31525976032935.png","sketches_full_dataset/this circle/this circle_sketch_age6_cdm_run_v31525976032935.png",6,"circle_sketch_age6_cdm_run_v31525976032935.png",1
"43",181,"cdm_run_v31525976865876",0,"square","age5",1525976884706,2018-05-10 18:28:04,2,3.75,NA,NA,0.0211854272959184,"(57, 163, 55, 159)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age5_cdm_run_v31525976865876.png","square_sketch_age5_cdm_run_v31525976865876.png","sketches_full_dataset/square/square_sketch_age5_cdm_run_v31525976865876.png",5,"",1
"44",182,"cdm_run_v31525976865876",1,"shape","age5",1525976900037,2018-05-10 18:28:20,1,0,NA,NA,0.0299944196428571,"(18, 211, 45, 147)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age5_cdm_run_v31525976865876.png","shape_sketch_age5_cdm_run_v31525976865876.png","sketches_full_dataset/shape/shape_sketch_age5_cdm_run_v31525976865876.png",5,"",1
"45",183,"cdm_run_v31525976865876",2,"this circle","age5",1525976916026,2018-05-10 18:28:36,2,4.95,NA,NA,0.0228993941326531,"(36, 184, 37, 153)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age5_cdm_run_v31525976865876.png","this circle_sketch_age5_cdm_run_v31525976865876.png","sketches_full_dataset/this circle/this circle_sketch_age5_cdm_run_v31525976865876.png",5,"circle_sketch_age5_cdm_run_v31525976865876.png",1
"46",193,"cdm_run_v31525978723767",2,"this circle","age3",1525979840767,2018-05-10 19:17:20,1,0,NA,NA,0.0228794642857143,"(45, 186, 61, 195)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age3_cdm_run_v31525978723767.png","this circle_sketch_age3_cdm_run_v31525978723767.png","sketches_full_dataset/this circle/this circle_sketch_age3_cdm_run_v31525978723767.png",3,"circle_sketch_age3_cdm_run_v31525978723767.png",1
"47",207,"cdm_run_v31525984464310",0,"square","age4",1525984500062,2018-05-10 20:35:00,1,0,NA,NA,0.0190330038265306,"(61, 159, 63, 171)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age4_cdm_run_v31525984464310.png","square_sketch_age4_cdm_run_v31525984464310.png","sketches_full_dataset/square/square_sketch_age4_cdm_run_v31525984464310.png",4,"",1
"48",208,"cdm_run_v31525984464310",1,"shape","age4",1525984530293,2018-05-10 20:35:30,13,7.92,NA,NA,0.029476243622449,"(24, 189, 45, 148)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age4_cdm_run_v31525984464310.png","shape_sketch_age4_cdm_run_v31525984464310.png","sketches_full_dataset/shape/shape_sketch_age4_cdm_run_v31525984464310.png",4,"",1
"49",209,"cdm_run_v31525984464310",2,"this circle","age4",1525984547360,2018-05-10 20:35:47,1,0,NA,NA,0.0200693558673469,"(37, 171, 45, 175)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age4_cdm_run_v31525984464310.png","this circle_sketch_age4_cdm_run_v31525984464310.png","sketches_full_dataset/this circle/this circle_sketch_age4_cdm_run_v31525984464310.png",4,"circle_sketch_age4_cdm_run_v31525984464310.png",1
"50",220,"cdm_run_v31525990258467",0,"square","age2",1525990473248,2018-05-10 22:14:33,5,14.91,NA,NA,0.0214046556122449,"(60, 163, 64, 174)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age2_cdm_run_v31525990258467.png","square_sketch_age2_cdm_run_v31525990258467.png","sketches_full_dataset/square/square_sketch_age2_cdm_run_v31525990258467.png",2,"",1
"51",222,"cdm_run_v31525990258467",2,"this circle","age2",1525990532308,2018-05-10 22:15:32,2,4.327,NA,NA,0.0197704081632653,"(96, 211, 43, 157)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age2_cdm_run_v31525990258467.png","this circle_sketch_age2_cdm_run_v31525990258467.png","sketches_full_dataset/this circle/this circle_sketch_age2_cdm_run_v31525990258467.png",2,"circle_sketch_age2_cdm_run_v31525990258467.png",1
"52",237,"cdm_run_v31525992411710",1,"shape","age3",1525992467211,2018-05-10 22:47:47,29,22.123,NA,NA,0.0323660714285714,"(16, 202, 78, 202)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age3_cdm_run_v31525992411710.png","shape_sketch_age3_cdm_run_v31525992411710.png","sketches_full_dataset/shape/shape_sketch_age3_cdm_run_v31525992411710.png",3,"",1
"53",238,"cdm_run_v31525992411710",2,"this circle","age3",1525992478913,2018-05-10 22:47:58,2,9.903,NA,NA,0.0223214285714286,"(34, 175, 67, 181)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age3_cdm_run_v31525992411710.png","this circle_sketch_age3_cdm_run_v31525992411710.png","sketches_full_dataset/this circle/this circle_sketch_age3_cdm_run_v31525992411710.png",3,"circle_sketch_age3_cdm_run_v31525992411710.png",1
"54",241,"cdm_run_v31525992682386",0,"square","age3",1525993334157,2018-05-10 23:02:14,45,8.082,NA,NA,0.0235371492346939,"(49, 162, 52, 168)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age3_cdm_run_v31525992682386.png","square_sketch_age3_cdm_run_v31525992682386.png","sketches_full_dataset/square/square_sketch_age3_cdm_run_v31525992682386.png",3,"",1
"55",242,"cdm_run_v31525992682386",1,"shape","age3",1525993369395,2018-05-10 23:02:49,20,3.143,NA,NA,0.0182955994897959,"(84, 204, 66, 157)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age3_cdm_run_v31525992682386.png","shape_sketch_age3_cdm_run_v31525992682386.png","sketches_full_dataset/shape/shape_sketch_age3_cdm_run_v31525992682386.png",3,"",1
"56",243,"cdm_run_v31525992682386",2,"this circle","age3",1525993408109,2018-05-10 23:03:28,8,9.392,NA,NA,0.022281568877551,"(43, 180, 40, 177)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age3_cdm_run_v31525992682386.png","this circle_sketch_age3_cdm_run_v31525992682386.png","sketches_full_dataset/this circle/this circle_sketch_age3_cdm_run_v31525992682386.png",3,"circle_sketch_age3_cdm_run_v31525992682386.png",1
"57",252,"cdm_run_v31525993726883",0,"square","age9",1525993757184,2018-05-10 23:09:17,9,9.758,NA,NA,0.0201092155612245,"(54, 166, 63, 165)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/square_sketch_age9_cdm_run_v31525993726883.png","square_sketch_age9_cdm_run_v31525993726883.png","sketches_full_dataset/square/square_sketch_age9_cdm_run_v31525993726883.png",9,"",1
"58",253,"cdm_run_v31525993726883",1,"shape","age9",1525993792430,2018-05-10 23:09:52,8,23.825,NA,NA,0.0133529974489796,"(48, 217, 15, 121)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/shape_sketch_age9_cdm_run_v31525993726883.png","shape_sketch_age9_cdm_run_v31525993726883.png","sketches_full_dataset/shape/shape_sketch_age9_cdm_run_v31525993726883.png",9,"",1
"59",254,"cdm_run_v31525993726883",2,"this circle","age9",1525993820304,2018-05-10 23:10:20,3,5.21,NA,NA,0.0234972895408163,"(46, 181, 61, 214)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/sketches_full_dataset/this circle_sketch_age9_cdm_run_v31525993726883.png","this circle_sketch_age9_cdm_run_v31525993726883.png","sketches_full_dataset/this circle/this circle_sketch_age9_cdm_run_v31525993726883.png",9,"circle_sketch_age9_cdm_run_v31525993726883.png",1
