"","fileNameShort","X1","session_id","trial_num","category","age","submit_time","submit_date","num_strokes","draw_duration_old","draw_duration_new","trial_duration","mean_intensity","bounding_box","filename","fullPath","age_numeric","fileNameShortNew"
"11","a crab_sketch_age3_cdm_run_v81579301139370.png",142,"cdm_run_v81579301139370",4,"a crab","age3",1579301240510,2020-01-17 22:47:20,1,0,0,3.957,0.00775271045918367,"(122, 202, 73, 104)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579301139370.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579301139370.png",3,"crab_sketch_age3_cdm_run_v81579301139370.png"
"12","a crab_sketch_age3_cdm_run_v81579377401514.png",198,"cdm_run_v81579377401514",6,"a crab","age3",1579377602010,2020-01-18 20:00:02,10,2.743,0,7.252,0.00645727040816327,"(85, 214, 39, 196)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579377401514.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579377401514.png",3,"crab_sketch_age3_cdm_run_v81579377401514.png"
"13","a crab_sketch_age3_cdm_run_v81579380895914.png",266,"cdm_run_v81579380895914",4,"a crab","age3",1579381434814,2020-01-18 21:03:54,1,0,0,3.285,0.0246532206632653,"(64, 124, 67, 154)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579380895914.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579380895914.png",3,"crab_sketch_age3_cdm_run_v81579380895914.png"
"14","a crab_sketch_age3_cdm_run_v81579385071384.png",293,"cdm_run_v81579385071384",4,"a crab","age3",1579385195181,2020-01-18 22:06:35,8,10.037,0,19.886,0.0348373724489796,"(19, 204, 40, 205)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579385071384.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579385071384.png",3,"crab_sketch_age3_cdm_run_v81579385071384.png"
"15","a crab_sketch_age3_cdm_run_v81579386387178.png",306,"cdm_run_v81579386387178",9,"a crab","age3",1579386696824,2020-01-18 22:31:36,3,11.002,0,26.132,0.0406967474489796,"(46, 223, 94, 222)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579386387178.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579386387178.png",3,"crab_sketch_age3_cdm_run_v81579386387178.png"
"16","a crab_sketch_age3_cdm_run_v81579390103097.png",343,"cdm_run_v81579390103097",11,"a crab","age3",1579390314998,2020-01-18 23:31:54,1,0,0,6.855,0.0568399234693878,"(49, 184, 60, 204)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579390103097.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579390103097.png",3,"crab_sketch_age3_cdm_run_v81579390103097.png"
"17","a crab_sketch_age3_cdm_run_v81579393851530.png",357,"cdm_run_v81579393851530",4,"a crab","age3",1579394177676,2020-01-19 00:36:17,10,11.428,0,22.561,0.0315489477040816,"(42, 160, 31, 186)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579393851530.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579393851530.png",3,"crab_sketch_age3_cdm_run_v81579393851530.png"
"18","a crab_sketch_age3_cdm_run_v81579475954538.png",487,"cdm_run_v81579475954538",4,"a crab","age3",1579476153499,2020-01-19 23:22:33,3,4.039,0,9.704,0.0363520408163265,"(46, 156, 22, 192)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age3_cdm_run_v81579475954538.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age3_cdm_run_v81579475954538.png",3,"crab_sketch_age3_cdm_run_v81579475954538.png"
"19","a crab_sketch_age4_cdm_run_v81579378780339.png",233,"cdm_run_v81579378780339",9,"a crab","age4",1579378983773,2020-01-18 20:23:03,6,8.053,0,14.296,0.0241350446428571,"(91, 193, 12, 120)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579378780339.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579378780339.png",4,"crab_sketch_age4_cdm_run_v81579378780339.png"
"20","a crab_sketch_age4_cdm_run_v81579383697637.png",277,"cdm_run_v81579383697637",4,"a crab","age4",1579383864147,2020-01-18 21:44:24,15,21.34,0,19.078,0.0413544323979592,"(16, 150, 19, 198)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579383697637.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579383697637.png",4,"crab_sketch_age4_cdm_run_v81579383697637.png"
"21","a crab_sketch_age4_cdm_run_v81579388849068.png",319,"cdm_run_v81579388849068",6,"a crab","age4",1579388989072,2020-01-18 23:09:49,1,0,0,3.875,0.00298947704081633,"(137, 157, 124, 178)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579388849068.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579388849068.png",4,"crab_sketch_age4_cdm_run_v81579388849068.png"
"22","a crab_sketch_age4_cdm_run_v81579461963357.png",368,"cdm_run_v81579461963357",5,"a crab","age4",1579462187595,2020-01-19 19:29:47,15,13.719,0,20.512,0.0426299426020408,"(24, 220, 28, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579461963357.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579461963357.png",4,"crab_sketch_age4_cdm_run_v81579461963357.png"
"23","a crab_sketch_age4_cdm_run_v81579472022428.png",424,"cdm_run_v81579472022428",8,"a crab","age4",1579472320578,2020-01-19 22:18:40,13,23.437,0,30.091,0.0678810586734694,"(1, 157, 0, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579472022428.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579472022428.png",4,"crab_sketch_age4_cdm_run_v81579472022428.png"
"24","a crab_sketch_age4_cdm_run_v81579474508779.png",464,"cdm_run_v81579474508779",7,"a crab","age4",1579474652483,2020-01-19 22:57:32,7,5.027,0,9.572,0.0536312181122449,"(0, 171, 36, 192)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579474508779.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579474508779.png",4,"crab_sketch_age4_cdm_run_v81579474508779.png"
"25","a crab_sketch_age4_cdm_run_v81579479185858.png",526,"cdm_run_v81579479185858",10,"a crab","age4",1579479520722,2020-01-20 00:18:40,7,18.096,0,24.507,0.0484494579081633,"(73, 219, 33, 199)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age4_cdm_run_v81579479185858.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age4_cdm_run_v81579479185858.png",4,"crab_sketch_age4_cdm_run_v81579479185858.png"
"26","a crab_sketch_age5_cdm_run_v81579297465811.png",86,"cdm_run_v81579297465811",7,"a crab","age5",1579297590534,2020-01-17 21:46:30,1,0,0,6.242,0.00540098852040816,"(127, 147, 91, 148)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579297465811.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579297465811.png",5,"crab_sketch_age5_cdm_run_v81579297465811.png"
"27","a crab_sketch_age5_cdm_run_v81579297855972.png",99,"cdm_run_v81579297855972",8,"a crab","age5",1579298287394,2020-01-17 21:58:07,6,7.72,0,10.78,0.0594308035714286,"(15, 171, 48, 196)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579297855972.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579297855972.png",5,"crab_sketch_age5_cdm_run_v81579297855972.png"
"28","a crab_sketch_age5_cdm_run_v81579300710289.png",122,"cdm_run_v81579300710289",7,"a crab","age5",1579300851947,2020-01-17 22:40:51,1,0,0,4.723,0.0335419323979592,"(48, 201, 51, 181)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579300710289.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579300710289.png",5,"crab_sketch_age5_cdm_run_v81579300710289.png"
"29","a crab_sketch_age5_cdm_run_v81579379579646.png",239,"cdm_run_v81579379579646",4,"a crab","age5",1579379702513,2020-01-18 20:35:02,9,15.108,0,27.724,0.055843431122449,"(85, 223, 49, 210)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579379579646.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579379579646.png",5,"crab_sketch_age5_cdm_run_v81579379579646.png"
"30","a crab_sketch_age5_cdm_run_v81579379982224.png",251,"cdm_run_v81579379982224",5,"a crab","age5",1579380113584,2020-01-18 20:41:53,12,22.67,0,28.833,0.0434271364795918,"(55, 147, 48, 201)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579379982224.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579379982224.png",5,"crab_sketch_age5_cdm_run_v81579379982224.png"
"31","a crab_sketch_age5_cdm_run_v81579477293460.png",510,"cdm_run_v81579477293460",6,"a crab","age5",1579477441341,2020-01-19 23:44:01,11,20.788,0,25.825,0.0576570471938775,"(1, 147, 15, 172)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age5_cdm_run_v81579477293460.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age5_cdm_run_v81579477293460.png",5,"crab_sketch_age5_cdm_run_v81579477293460.png"
"32","a crab_sketch_age6_cdm_run_v81579287754248.png",15,"cdm_run_v81579287754248",5,"a crab","age6",1579287863124,2020-01-17 19:04:23,3,3.588,0,6.233,0.0176179846938776,"(87, 178, 87, 204)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age6_cdm_run_v81579287754248.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age6_cdm_run_v81579287754248.png",6,"crab_sketch_age6_cdm_run_v81579287754248.png"
"33","a crab_sketch_age6_cdm_run_v81579292561352.png",61,"cdm_run_v81579292561352",8,"a crab","age6",1579292817831,2020-01-17 20:26:57,35,23.554,0,28.403,0.132095025510204,"(19, 223, 0, 192)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age6_cdm_run_v81579292561352.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age6_cdm_run_v81579292561352.png",6,"crab_sketch_age6_cdm_run_v81579292561352.png"
"34","a crab_sketch_age6_cdm_run_v81579476872885.png",500,"cdm_run_v81579476872885",10,"a crab","age6",1579477172268,2020-01-19 23:39:32,16,17.92,0,22.113,0.0675422512755102,"(54, 190, 25, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age6_cdm_run_v81579476872885.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age6_cdm_run_v81579476872885.png",6,"crab_sketch_age6_cdm_run_v81579476872885.png"
"35","a crab_sketch_age8_cdm_run_v81579470208061.png",413,"cdm_run_v81579470208061",9,"a crab","age8",1579470472879,2020-01-19 21:47:52,12,17.32,0,26.114,0.0762715242346939,"(0, 223, 33, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age8_cdm_run_v81579470208061.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age8_cdm_run_v81579470208061.png",8,"crab_sketch_age8_cdm_run_v81579470208061.png"
"36","a crab_sketch_age9_cdm_run_v81579289245401.png",42,"cdm_run_v81579289245401",6,"a crab","age9",1579289522371,2020-01-17 19:32:02,4,4.877,0,12.683,0.0481903698979592,"(15, 211, 34, 189)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age9_cdm_run_v81579289245401.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age9_cdm_run_v81579289245401.png",9,"crab_sketch_age9_cdm_run_v81579289245401.png"
"37","a crab_sketch_age9_cdm_run_v81579376318072.png",177,"cdm_run_v81579376318072",6,"a crab","age9",1579376468193,2020-01-18 19:41:08,8,18.236,0,22.053,0.0400789221938775,"(105, 202, 15, 180)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crab_sketch_age9_cdm_run_v81579376318072.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crab/a crab_sketch_age9_cdm_run_v81579376318072.png",9,"crab_sketch_age9_cdm_run_v81579376318072.png"
"38","a crocodile_sketch_age10_cdm_run_v81579472592616.png",439,"cdm_run_v81579472592616",11,"a crocodile","age10",1579472876929,2020-01-19 22:27:56,9,16.804,0,20.535,0.0696149553571429,"(70, 216, 37, 216)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age10_cdm_run_v81579472592616.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age10_cdm_run_v81579472592616.png",10,"crocodile_sketch_age10_cdm_run_v81579472592616.png"
"39","a crocodile_sketch_age10_cdm_run_v81579473682489.png",447,"cdm_run_v81579473682489",7,"a crocodile","age10",1579473834663,2020-01-19 22:43:54,9,7.834,0,11.449,0.0390625,"(128, 223, 0, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age10_cdm_run_v81579473682489.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age10_cdm_run_v81579473682489.png",10,"crocodile_sketch_age10_cdm_run_v81579473682489.png"
"40","a crocodile_sketch_age2_cdm_run_v81579284350322.png",3,"cdm_run_v81579284350322",5,"a crocodile","age2",1579284547811,2020-01-17 18:09:07,2,1.644,0,11.023,0.0128547512755102,"(112, 177, 128, 175)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age2_cdm_run_v81579284350322.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age2_cdm_run_v81579284350322.png",2,"crocodile_sketch_age2_cdm_run_v81579284350322.png"
"41","a crocodile_sketch_age2_cdm_run_v81579468565219.png",397,"cdm_run_v81579468565219",7,"a crocodile","age2",1579468784883,2020-01-19 21:19:44,4,8.66,0,16.2,0.0165816326530612,"(75, 207, 48, 201)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age2_cdm_run_v81579468565219.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age2_cdm_run_v81579468565219.png",2,"crocodile_sketch_age2_cdm_run_v81579468565219.png"
"42","a crocodile_sketch_age2_cdm_run_v81579474286711.png",455,"cdm_run_v81579474286711",5,"a crocodile","age2",1579474428441,2020-01-19 22:53:48,9,6.532,0,11.44,0.0336216517857143,"(99, 202, 9, 207)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age2_cdm_run_v81579474286711.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age2_cdm_run_v81579474286711.png",2,"crocodile_sketch_age2_cdm_run_v81579474286711.png"
"43","a crocodile_sketch_age2_cdm_run_v81579474768028.png",479,"cdm_run_v81579474768028",11,"a crocodile","age2",1579475044489,2020-01-19 23:04:04,1,0,0,17.592,0.0262874681122449,"(40, 219, 31, 223)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age2_cdm_run_v81579474768028.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age2_cdm_run_v81579474768028.png",2,"crocodile_sketch_age2_cdm_run_v81579474768028.png"
"44","a crocodile_sketch_age3_cdm_run_v81579289638635.png",52,"cdm_run_v81579289638635",4,"a crocodile","age3",1579289760971,2020-01-17 19:36:00,11,7.62,0,11.23,0.064632493622449,"(19, 193, 0, 213)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age3_cdm_run_v81579289638635.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age3_cdm_run_v81579289638635.png",3,"crocodile_sketch_age3_cdm_run_v81579289638635.png"
"45","a crocodile_sketch_age3_cdm_run_v81579294368093.png",70,"cdm_run_v81579294368093",4,"a crocodile","age3",1579294578037,2020-01-17 20:56:18,14,20.709,0,30.116,0.0191127232142857,"(188, 223, 18, 190)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age3_cdm_run_v81579294368093.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age3_cdm_run_v81579294368093.png",3,"crocodile_sketch_age3_cdm_run_v81579294368093.png"
"46","a crocodile_sketch_age3_cdm_run_v81579298360070.png",112,"cdm_run_v81579298360070",9,"a crocodile","age3",1579298651818,2020-01-17 22:04:11,4,4.37,0,9.482,0.0200494260204082,"(81, 174, 72, 165)","/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/preprocessing/1_get_sketches/sketches_full_dataset/a crocodile_sketch_age3_cdm_run_v81579298360070.png","/Users/brialong/Documents/GitHub/kiddraw/data/drawings/cdm_run_v8/sketches_full_dataset/a crocodile/a crocodile_sketch_age3_cdm_run_v81579298360070.png",3,"crocodile_sketch_age3_cdm_run_v81579298360070.png"
